MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.4,6.8,8.2,34,6,3,192
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9,11,26,4,3,259
ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Z,12.2,9,10.7,26,4,3,251
ACURA,MDX HYBRID AWD,SUV - SMALL,3,6,AM7,Z,9.1,9,9,31,5,3,210
ACURA,NSX,TWO-SEATER,3.5,6,AM9,Z,11.1,10.8,11,26,4,3,261
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.7,10.7,26,4,3,250
ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,6,7,196
ACURA,TLX,COMPACT,2.4,4,AM8,Z,10,7.1,8.7,32,6,3,205
ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,32,5,3,209
ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.4,7.7,9.8,29,5,3,228
ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6,AS9,Z,12,8.2,10.3,27,5,3,240
ALFA ROMEO,4C COUPE,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,6,1,197
ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,6,1,197
ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,32,6,3,205
ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,31,5,3,217
ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,24,4,3,280
ALFA ROMEO,STELVIO AWD,SUV - SMALL,2,4,A8,Z,10.8,8.3,9.6,29,5,3,226
ALFA ROMEO,STELVIO QUADRIFOGLIO,SUV - SMALL,2.9,6,A8,Z,14.1,10.4,12.4,23,3,3,292
ASTON MARTIN,DB11 V8,MINICOMPACT,4,8,A8,Z,13,9.8,11.5,25,4,3,271
ASTON MARTIN,DB11 V12,MINICOMPACT,5.2,12,A8,Z,15.5,11.4,13.7,21,3,3,322
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.7,10.9,14.1,20,3,3,332
ASTON MARTIN,VANQUISH,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,19,2,3,346
AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8,35,6,7,188
AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM6,X,9.7,7.5,8.7,32,6,7,205
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,30,5,7,223
AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.4,7.6,37,7,3,177
AUDI,A4 QUATTRO,COMPACT,2,4,AM7,Z,10,7,8.7,32,6,5,203
AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,9.9,7.1,8.7,32,6,3,204
AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AM7,Z,10.5,7.9,9.3,30,5,5,217
AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7,8.7,32,6,5,203
