MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
ACURA,ILX,COMPACT,2.4,4.0,AM8,Z,9.4,6.8,6.0,3.0,192.0
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.6,9.0,4.0,3.0,259.0
ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.0,4.0,3.0,251.0
ACURA,MDX HYBRID AWD,SUV - SMALL,3.0,6.0,AM7,Z,9.1,9.0,5.0,3.0,210.0
ACURA,NSX,TWO-SEATER,3.5,6.0,AM9,Z,11.1,10.8,4.0,3.0,261.0
ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.4,8.7,4.0,3.0,250.0
ACURA,RLX HYBRID,MID-SIZE,3.5,6.0,AM7,Z,8.4,8.2,6.0,7.0,196.0
ACURA,TLX,COMPACT,2.4,4.0,AM8,Z,10.0,7.1,6.0,3.0,205.0
ACURA,TLX A-SPEC,COMPACT,2.4,4.0,AM8,Z,10.2,7.4,5.0,3.0,209.0
ACURA,TLX SH-AWD,COMPACT,3.5,6.0,AS9,Z,11.4,7.7,5.0,3.0,228.0
ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6.0,AS9,Z,12.0,8.2,5.0,3.0,240.0
ALFA ROMEO,4C COUPE,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,6.0,1.0,197.0
ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,6.0,1.0,197.0
ALFA ROMEO,GIULIA,MID-SIZE,2.0,4.0,A8,Z,10.0,7.2,6.0,3.0,205.0
ALFA ROMEO,GIULIA AWD,MID-SIZE,2.0,4.0,A8,Z,10.5,7.7,5.0,3.0,217.0
ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6.0,A8,Z,13.8,9.6,4.0,3.0,280.0
ALFA ROMEO,STELVIO AWD,SUV - SMALL,2.0,4.0,A8,Z,10.8,8.3,5.0,3.0,226.0
ALFA ROMEO,STELVIO QUADRIFOGLIO,SUV - SMALL,2.9,6.0,A8,Z,14.1,10.4,3.0,3.0,292.0
ASTON MARTIN,DB11 V8,MINICOMPACT,4.0,8.0,A8,Z,13.0,9.8,4.0,3.0,271.0
ASTON MARTIN,DB11 V12,MINICOMPACT,5.2,12.0,A8,Z,15.5,11.4,3.0,3.0,322.0
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12.0,A8,Z,16.7,10.9,3.0,3.0,332.0
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,2.0,3.0,346.0
AUDI,A3,SUBCOMPACT,2.0,4.0,AM7,X,9.1,6.8,6.0,7.0,188.0
AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,9.7,7.5,6.0,7.0,205.0
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.8,8.0,5.0,7.0,223.0
AUDI,A4,COMPACT,2.0,4.0,AM7,Z,8.6,6.4,7.0,3.0,177.0
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AM7,Z,10.0,7.0,6.0,5.0,203.0
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,Z,9.9,7.1,6.0,3.0,204.0
AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AM7,Z,10.5,7.9,5.0,5.0,217.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AM7,Z,10.0,7.0,6.0,5.0,203.0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,9.9,7.1,6.0,3.0,204.0
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AM7,Z,10.0,7.0,6.0,5.0,203.0
AUDI,A5 SPORTBACK QUATTRO,MID-SIZE,2.0,4.0,AM7,Z,10.0,7.0,6.0,5.0,203.0
AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,Z,10.6,7.5,5.0,5.0,216.0
AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,5.0,3.0,235.0
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,5.0,3.0,235.0
AUDI,A8,FULL-SIZE,3.0,6.0,AS8,Z,12.6,8.0,4.0,3.0,247.0
AUDI,A8,FULL-SIZE,4.0,8.0,AS8,Z,15.1,9.1,3.0,3.0,290.0
AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,Z,15.1,9.1,3.0,3.0,290.0
AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,11.6,8.3,5.0,3.0,236.0
AUDI,Q3 QUATTRO,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,5.0,3.0,240.0
AUDI,Q5,SUV - SMALL,2.0,4.0,AS7,Z,10.4,8.6,5.0,3.0,226.0
